acceleration	throttle lag
aimHeight	aims at (body height)
aimPitch	head dips onto target
aimTime	comes onto a body in (s)
aimTurnRate	turn-onto lag
altitude	hover height (m)
ambientIntensity	ambient
animationSpeed	animation speed
auraSize	aura stand-off (m)
auraStrength	aura
auraThreshold	aura sparseness
autoFrame	auto framing
bank	bank (rad)
bankIntoTurns	lean into turns
bankRate	bank rate
baseRing	base ring radius
baseRingWidth	base ring width
beadBurst	beads on ignition
beadLifetime	bead lifetime
beadRate	bead rate
beadRise	bead rise
beadSize	bead size
beadSpeed	bead speed
beadSwirl	bead drift round
beamAngle	half-angle (deg)
beamBow	pinched at the point
beamCoil	satellite turns
beamCore	core thread
beamCoreFill	core weight
beamCoreWeight	core strength
beamEdge	edge softness
beamEdgePower	sheath power
beamFalloff	fades toward the floor
beamFiber	fibres
beamFiberScale	fibre scale
beamFiberSpeed	fibre speed
beamFlare	flare at target
beamFlareWidth	flare length
beamHeadGlow	head glow
beamHeadWidth	head width
beamHold	holds until
beamIntensity	cone
beamLead	point ahead of the front (m)
beamMuzzleGlow	muzzle glow
beamMuzzleRadius	radius at the flash (m)
beamMuzzleWidth	muzzle width
beamNoise	dust in the beam
beamNoiseScale	dust scale
beamOpacity	opacity
beamPulse	charge along it
beamPulseBands	charge bands
beamPulseFreq	charges over it
beamPulseSharp	charge sharpness
beamPulseSpeed	charge speed
beamRadius	radius at target (m)
beamRadiusCurve	taper curve
beamRipple	ripple
beamRippleBands	ripple bands
beamRippleSpeed	ripple speed
beamSatellite	satellite width, x
beamSheath	sheath gain
beamSoft	edge falloff
beamSoftFade	soft fade
beamSpan	reach back (m)
beamSpin	satellite roll (turns/s)
beamStrands	axis + satellites
beamStrike	arrives in
beamSwing	swing lag
beamTailThin	thin at the tail, x
beamWander	wander (m)
beamWanderScale	wander scale
beamWanderSpeed	wander speed
beamWidth	width (m)
bladeBlur	rotor blur
bladeHeight	blade height (m)
bladeLean	blade lean (rad)
bladeSeat	blade ring, x footprint
bladeSpeed	rotor speed (rev/s)
bladeSpinUp	spin-up (s)
bloodBack	backwards along the path
bloodBeadFreq	beads over the strand
bloodBeads	beading
bloodBurstThrow	strike throws harder
bloodCarry	keeps the head's speed
bloodCurl	how far it bows
bloodForward	forwards, on the strike
bloodGloss	highlight tightness
bloodGravity	gravity
bloodLife	one strand lasts
bloodNeck	stretch (tail is slower)
bloodNeckDepth	thins before it breaks
bloodOpacity	opacity
bloodRate	throws/second each
bloodRim	lit through where thin
bloodRootSpread	tears from back to (m)
bloodSheen	highlight strength
bloodSoftFade	soft fade (m)
bloodSpread	off the axis
bloodTaper	thins toward the tail
bloodThrow	thrown at (m/s)
bloodWidth	width (m)
bloomRadius	bloom radius
bloomStrength	bloom intensity
bloomThreshold	bloom threshold
bodyCrackWidth	crack width (m)
bodyEmbers	embers/s off the bird
bodyFrostScale	frost scale
bodyHeat	plumage heat
bodyRadius	body radius
bodySeamGlow	lattice glow
bodySeamSet	lattice once set
bodySeamWidth	lattice width (m)
bodySwirl	poison inside
bodySwirlScale	poison scale
boundary	band thickness
boundaryBias	band bias out/in
boundaryGlow	band glow
breakChips	glass off the barrier/s
burnClimb	lifts as it burns (m/s)
burnShake	break-up rumble
burstDrops	thrown by the strike
burstGlints	thrown by the strike
burstMotes	thrown by the strike
burstTime	comes apart over
cameraShake	camera shake
castBlendIn	blend into cast
castBlendOut	blend back to idle
castFlash	flash on release
castGlints	thrown on the cast
castLean	lunge lean
castMotes	thrown on the cast
castRecoil	lunge recoil
castSettle	lunge settle
cellGlow	facet seam glow
cellScale	facets per radius
cellWidth	facet seam width
chipSize	splinter size
chromaticAberration	chromatic aberration
coneBurstFlare	mouth blows open
coneErode	eaten through
coneErodeScale	erosion scale
coneErodeSpeed	erosion speed
coneFill	interior wash
coneFlare	flare (>1 horn)
coneFlow	rings travel (per second)
coneFresnel	silhouette rim
coneFresnelPower	rim tightness
coneHead	white nose reaches
coneIntensity	intensity
coneLength	reach back (m)
coneMesh	ring/rib strength
coneNoseFade	nose capped off
coneOpacity	opacity
conePulse	charge along it
conePulseFreq	charges over it
conePulseSpeed	charge speed
coneRadius	trailing mouth radius (m)
coneRibs	ribs around it
coneRings	rings across it
coneSoftFade	soft fade (m)
coneSpiral	helix strength
coneSpiralArms	helices
coneSpiralSpin	helix roll (turns/s)
coneSpiralTurns	turns each makes
coneSpiralWire	helix width (px)
coneTailFade	mouth dissolves from
coneTip	radius at the nose
coneWire	ring/rib width (px)
coneWobble	off a clean cone
coneWobbleScale	wobble scale
coneWobbleSpeed	wobble speed
contactShadow	contact shadow
contrast	contrast
convertCellWise	cell by cell
convertDelay	first body at (s)
convertLead	seams lead by
convertReach	reach (× radius)
convertStagger	outer bodies later by (s)
convertTime	climbs over (s)
cooldown	cooldown
core	centre mark
coreBurstDrag	strike: drag
coreBurstGravity	strike: gravity
coreBurstHeat	strike: flash
coreBurstSpeed	strike: facets fly at (m/s)
coreBurstSpin	strike: tumble (turns/s)
coreFractureDepth	fracture depth (m)
coreFractureScale	fracture scale
coreFractureWidth	fracture width
coreFractures	fracture planes inside
coreFrostEtch	frost etched on the rear
coreFrostScale	flakes per radius
coreFrostStart	etched from
coreGlow	light in the thick of it
coreHaze	trapped air
coreHazeScale	air scale
coreInnerEdge	inner facet lines
coreInnerLevel	inner facets
coreIntensity	intensity
coreLead	nose ahead of the front (m)
coreLength	nose to rear (m)
coreNoseGlow	the nose
coreNosePow	how tight that is
coreOpacity	surface veils the inside
corePulse	the light breathes
corePulseSpeed	breath speed
coreRadius	girdle radius (m)
coreRoll	roll (turns/s)
coreRolloff	body roll-off (keeps it matter)
coreScatter	light scattered through
coreScatterDistort	scatter bend
coreScatterPower	scatter tightness
coreSize	centre size
coreSoftFade	soft fade (m)
coreWobble	nose wander (rad)
coreWobbleSpeed	wander speed
corpseTime	lies there, seconds
count	how many
crackDepth	crack depth (m)
crackGlow	crack glow
crackGlowBody	crack light
crackReach	cracks run out to
crackScale	crack cells per metre
crackTime	cracks run over (s)
crackWidth	crack width
crawl	filaments
crawlScale	filaments / metre
crawlSpeed	filament crawl
creepRate	beads off the seed
crosshair	reticle arms
crosshairLength	arm length
crownBase	base radius (m)
crownCount	crystals
crownDelay	grow at (s)
crownGrowTime	grow over (s)
crownHeight	height (m)
crownLean	lean outward (rad)
crownRadius	stand at (× radius)
crustCrackGlow	crack light
crustCrackReach	cracks reach
crustCrackScale	cracks per metre
crustCrackWidth	crack width
crustEmber	in the cracks
crustEmberScale	embers per metre
crustPulse	breath
crustPulseSpeed	breath speed
crustStain	stain
crystalBend	bend
crystalDelay	crystals start at
crystalFacets	facets
crystalHeightJitter	height jitter
crystalInclusions	inclusions scale
crystalLeanJitter	lean jitter
crystalOpacity	opacity
crystalOvershoot	rise overshoot
crystalRadius	base radius (m)
crystalRadiusJitter	radius jitter
crystalRim	rim light
crystalRough	facet roughness
crystalScale	plate scale
crystalScreenKey	key toward camera
crystalSeatJitter	seat jitter
crystalSettle	settle time
crystalSinkTime	withdraw over
crystalStagger	first-to-last lag
crystalTaper	tip taper
crystalTime	one rises over
crystalTwist	twist
crystals	crystals
damping	follow damping
debrisCount	chips
debrisDrag	drag
debrisFlash	flash when it comes away
debrisFlashLife	that flash lasts
debrisForward	along the heading
debrisGravity	gravity
debrisGrowIn	snaps to size over
debrisHot	still lit (fraction)
debrisHotGlow	that light
debrisHotPulse	it breathes at
debrisIntensity	intensity
debrisLead	comes off ahead by (m)
debrisLife	one flake lasts
debrisLong	longest sliver, x
debrisRadius	born within (m)
debrisRolloff	body roll-off
debrisShrinkOut	shrink starts at
debrisSize	size (m)
debrisSizeVariance	size spread
