.i18n/folders.txt:1:1 · ... and the beam down its axis	1 · 축을 관통하는 빔
.i18n/folders.txt:2:1 · Crystalline barrier mesh	1 · 결정 방벽 메시
.i18n/folders.txt:3:1 · Ice cylinder mesh	1 · 얼음 기둥 메시
.i18n/folders.txt:4:1 · The conical mesh trail	1 · 원뿔형 메시 궤적
.i18n/folders.txt:5:1 · The ground rune	1 · 지면 룬
.i18n/folders.txt:6:1 · The phoenix	1 · 불사조
.i18n/folders.txt:7:1 · The shadow core: the lance	1 · 그림자 핵: 창
.i18n/folders.txt:8:1 · The subsurface ice mesh	1 · 얼음 내부 메시
.i18n/folders.txt:9:2 · ... and the silks	2 · 잔결 실크
.i18n/folders.txt:10:2 · Frost particles	2 · 서리 입자
.i18n/folders.txt:11:2 · Poison gas miasma	2 · 독가스 장막
.i18n/folders.txt:12:2 · The crystal shards	2 · 결정 파편
.i18n/folders.txt:13:2 · The fluid blood splatter	2 · 핏방울 유체
.i18n/folders.txt:14:2 · The fluid frost vapour	2 · 서리 증기 유체
.i18n/folders.txt:15:2 · The particle debris	2 · 입자 잔해
.i18n/folders.txt:16:2 · The serpentine fire trails	2 · 뱀 행렬 화염 궤적
.i18n/folders.txt:17:2 · What the stone is made of	2 · 석재 구성
.i18n/folders.txt:18:3 · Ground ice decal	3 · 지면 얼음 데칼
.i18n/folders.txt:19:3 · Ground rupture decal	3 · 지면 균열 데칼
.i18n/folders.txt:20:3 · The chaotic energy ribbons	3 · 혼돈 에너지 리본
.i18n/folders.txt:21:3 · The ordered frost lattice	3 · 정연한 서리 격자
.i18n/folders.txt:22:3 · The radial water splash	3 · 방사형 물보라
.i18n/folders.txt:23:3 · The shadow ribbon trails	3 · 그림자 리본 궤적
.i18n/folders.txt:24:3 · The wispy flame waves	3 · 엷은 화염 파동
.i18n/folders.txt:25:4 · Cold air mist	4 · 냉기 안개
.i18n/folders.txt:26:4 · Radial shockwave ring	4 · 방사형 충격파 링
.i18n/folders.txt:27:4 · The dark mist tendrils	4 · 어둠 안개 촉수
.i18n/folders.txt:28:4 · The energy sparks	4 · 에너지 불꽃
.i18n/folders.txt:29:4 · The glinting ice shards	4 · 반짝이는 얼음 파편
.i18n/folders.txt:30:4 · The glinting sparkles	4 · 반짝이 불티
.i18n/folders.txt:31:4 · The ground scorch	4 · 지면 그을음
.i18n/folders.txt:32:5 · Rising shards	5 · 솟구치는 파편
.i18n/folders.txt:33:5 · The distortion wave	5 · 왜곡 파동
.i18n/folders.txt:34:5 · The floating embers	5 · 떠다니는 불씨
.i18n/folders.txt:35:5 · The glow flash	5 · 섬광
.i18n/folders.txt:36:5 · The refractive distortion	5 · 굴절 왜곡
.i18n/folders.txt:37:6 · Ambient glow	6 · 환경 광택
.i18n/folders.txt:38:6 · The corrupted droplets	6 · 타락한 물방울
.i18n/folders.txt:39:6 · The lingering crimson motes	6 · 잔류하는 진홍 티끌
.i18n/folders.txt:40:6 · The lingering shadow motes	6 · 잔류하는 그림자 티끌
.i18n/folders.txt:41:6 · The sub-surface glow	6 · 내부 발광
.i18n/folders.txt:42:7 · The beam	7 · 빔
.i18n/folders.txt:43:7 · The beam itself	7 · 빔 본체
.i18n/folders.txt:44:7 · What the light burns	7 · 빛이 태우는 것
.i18n/folders.txt:45:At the foot of the wall	벽 밑단
.i18n/folders.txt:46:Backdrop, fog & dust	배경·안개·먼지
.i18n/folders.txt:47:Camera	카메라
.i18n/folders.txt:48:Casting	시전
.i18n/folders.txt:49:Character	캐릭터
.i18n/folders.txt:50:Corpse & respawn	시체·리스폰
.i18n/folders.txt:51:Dynamic light	동적 조명
.i18n/folders.txt:52:Edge panning	가장자리 패닝
.i18n/folders.txt:53:Energy & frost	에너지·서리
.i18n/folders.txt:54:Environment	환경
.i18n/folders.txt:55:Flight & control	비행·조작
.i18n/folders.txt:56:Global	전역
.i18n/folders.txt:57:How the black glass is lit	흑유리 조명 방식
.i18n/folders.txt:58:How the ice is lit	얼음 조명 방식
.i18n/folders.txt:59:In the air	공중
.i18n/folders.txt:60:Lighting & impact	조명·충격
.i18n/folders.txt:61:Lunge	돌진
.i18n/folders.txt:62:Particles	입자
.i18n/folders.txt:63:Post processing	후처리
.i18n/folders.txt:64:Presets	프리셋
.i18n/folders.txt:65:Rendering	렌더링
.i18n/folders.txt:66:Rim light	림 라이트
.i18n/folders.txt:67:Rings & rosette	링·로제트
.i18n/folders.txt:68:Silhouette (metres)	외형 (미터)
.i18n/folders.txt:69:Stage floor	무대 바닥
.i18n/folders.txt:70:Target dummies	표적 더미
.i18n/folders.txt:71:Targeting	조준
.i18n/folders.txt:72:The airframe	기체
.i18n/folders.txt:73:The balance	균형
.i18n/folders.txt:74:The blow	타격
.i18n/folders.txt:75:The bodies turned to glass	유리화된 신체
.i18n/folders.txt:76:The body light	신체 조명
.i18n/folders.txt:77:The boundary (metres)	경계 (미터)
.i18n/folders.txt:78:The burst	폭발
.i18n/folders.txt:79:The cast	시전
.i18n/folders.txt:80:The chassis	섀시
.i18n/folders.txt:81:The comet	혜성
.i18n/folders.txt:82:The conversion	변환
.i18n/folders.txt:83:The crystal	결정
.i18n/folders.txt:84:The dissolve	소멸
.i18n/folders.txt:85:The drive	구동
.i18n/folders.txt:86:The embers	불씨
.i18n/folders.txt:87:The eruption	분출
.i18n/folders.txt:88:The fall	낙하
